Topic,Count,Name,Representation,Representative_Docs,topic_name
0,275,0_the_to_banking_app,"['the', 'to', 'banking', 'app', 'it', 'and', 'is', 'this', 'mobile', 'bank']","['This is the worst mobile banking experience I’ve ever had. It doesn’t work when you need it, and it randomly updates itself without warning. You can’t make transactions whenever you want. It’s a nightmare for anyone who relies on this as their main banking option, especially those with a lot of money in their account. I’m lucky I’m not one of them, but still, it’s infuriating not being able to access your money when you need it.""l', ""OMG this is like the worst mobile banking app ever. I have many different mobile banking app from different banks but this is the worst so far. It says it has connection issue when I have wifi or data connection and while I'm using other social media apps. It keeps asking me for update once like every week and takes forever to load like I have to wait at least 10 minutes to login and another 10 min to see my balance."", ""Developers/ the company takes too long to update the app, and throughout that process, the app is basically useless. We can't send money or even be able to check our account. They even take it down from the Play Store for a while. This whole process usually takes them 3 to 5 days. This is very disappointing. It is an improvement from the previous version of the app, but they still have a long way to go to compete with the likes of CBE. Transferring to other banks sometimes doesn't work.""]",General App Complaints
1,267,1_it_not_working_app,"['it', 'not', 'working', 'app', 'work', 'the', 'is', 'update', 'open', 'this']","['this app is not working on my phone', 'This app is not working!!', ""What's wrong with App. this days? it doesn't working properly. 1) it's VERY SLOW & doesn't open. it's very Annoying. 2) most of the time it says repeatedly Please try it again or try it later but again and again it doesn't open or work. 3) repeatedly it says something went wrong then it off the screen. I've updated the App. when it needed but nothing changed. 👉PLEASE if it has some issues with the App. Please fix it otherwise I'm going to uninstall it.""]",General Banking Experience
2,208,2_app_very_it_and,"['app', 'very', 'it', 'and', 'good', 'best', 'this', 'nice', 'is', 'the']","['very good for this app', 'Very good app that like it too. B/c it is very fast and easy to use.', 'it is very good app']",Dashen Super App Feedback
3,206,3_good_easy_very_it,"['good', 'easy', 'very', 'it', 'fast', 'use', 'service', 'and', 'best', 'to']","['It is good', 'easy to use and the best one', 'It good and easy to use']",Speed and Convenience
4,133,4_dashen_super_bank_and,"['dashen', 'super', 'bank', 'and', 'is', 'app', 'the', 'banking', 'one', 'for']","['dashen super app is the best', 'dashen bank or dashen super app?', 'Dashen Bank super app is the best app']",Positive General Feedback
5,54,5_ethiopia_in_ethiopian_bank,"['ethiopia', 'in', 'ethiopian', 'bank', 'of', 'banking', 'to', 'best', 'and', 'the']","['Bank of Ethiopia', 'one of the best app in Ethiopia .', 'best bank in ethiopia']",Amharic Reviews
6,43,6_ነው_በጣም_ግን_አፕ,"['ነው', 'በጣም', 'ግን', 'አፕ', 'ብር', 'አሪፍ', 'ያለ', 'ወደ', 'ጥሩ', 'እና']","['በቴሌ ብር እዳ አካውንት ማንቀሳቀስ አለመቻሉ ጥሩ ሆኖ ግን ቢያንስ ገንዘባችን ባንካችን ጋ በመሆኑ ወደ ግል የቴሌብር ዋሌታችን ብር መላክ እንዲቻል ብታደርጉት መልካም ነው እንዲሁም እዳ የሌለብን መሆኑን በአፋጣኝ ሪፖርት በመቀበል አካውንቱ በፍጥነት እንዲከፈትልን ቢደረግ ጥሩ ነው አመሰግናለሁ', 'በጣም አሪፍ መተግበሪያ ነው ። አመሠግናለሁ ።', 'ፍጥነቱ በጣም አሪፍ ነው! እና ቀለል ያለ ነው ! ነገር ግን ተጨማሪ ወደ ቴሌብር ኤጀንት መላኪያ አፕ ቢካተትበት ጥሩ ነው::']",Developer Options and Settings
7,40,7_developer_off_options_option,"['developer', 'off', 'options', 'option', 'turn', 'to', 'why', 'disable', 'the', 'this']","['Developer option to be off really', ""I am an app developer, I need to keep developer options on... WHY ARE YOU ASKING ME TO TURN DEVELOPER OPTIONS OFF... why is it that Abyssinia is the only damned bank in Ethiopia that just can't seem to buld an app that works... it's not that hard people, just look at CBE... this is simply terrible, borderline unusable!"", ""This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.""]",PIN and Keyboard Issues
8,34,8_the_pin_keyboard_update,"['the', 'pin', 'keyboard', 'update', 'new', 'number', 'numbers', 'is', 'password', 'layout']","['the new keyboard is the most worst in the app', 'The application is generally very good and reliable. It offers smooth operations and better functionality compared to many similar apps. However, after the recent update, the keyboard behavior is not as convenient as before—it seems to have adapted new features that affect typing comfort. Aside from this issue, the overall performance, services, and usability of the app remain strong. I appreciate the improvements and hope the keyboard experience will be refined in future updates.', 'The recent update UI makes it hard to input passcode in the number pad when authorizing payment. The current implemented keypad is different from the normal accepted keypad number layout. This is fighting with the muscle memory we have to simply input the numbers in the layout we normally know. I hope you fix it soon']",General Positive Feedback
9,29,9_bank_best_charge_trust,"['bank', 'best', 'charge', 'trust', 'in', 'my', 'enough', 'very', 'most', 'we']","['it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough', 'The best bank in 🇪🇹', 'The best bank']",CBE Specific Feedback
10,27,10_worst_ever_app_seen,"['worst', 'ever', 'app', 'seen', 'never', 'the', 'have', 'works', 'many', 'developers']","['Worst app ever', 'The worst app ever', 'the worst app ever,']",Amharic Complaints
11,24,11_cbe_app_the_is,"['cbe', 'app', 'the', 'is', 'to', 'it', 'application', 'companies', 'was', 'invest']","['CBE app is great app', ""It's good app but the system is not same as CBE bankin mobile When i compare To these apps BOA and CBE, CBE is the best up"", 'CBE application is good.']",Topic 11
12,24,12_application_good_very_amazing,"['application', 'good', 'very', 'amazing', 'more', 'customers', 'accecing', 'appliciation', 'atande', 'excayeted']","['Good application', 'good application', 'very Good application']",Topic 12
